[cktv:error][ERROR] [2016-05-25 15:29:53] org.apache.velocity.runtime.log.CommonsLogLogChute.log(96) | Left side ($publish.is_only) of '>' operation has null value at /display-manage/add-info.html[line 238, column 64]
[cktv:error][ERROR] [2016-05-25 15:30:17] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:23] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:31] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:31] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:43] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:43] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:30:43] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:31:24] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:31:26] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:31:30] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:31:32] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:31:32] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:32:03] org.apache.velocity.runtime.log.CommonsLogLogChute.log(96) | Left side ($publish.is_only) of '>' operation has null value at /display-manage/add-info.html[line 238, column 64]
[cktv:error][ERROR] [2016-05-25 15:32:09] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:32:11] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:32:12] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
[cktv:error][ERROR] [2016-05-25 15:32:12] com.cktv.exception.handle.MyExceptionResolver.doResolveException(55) | [error]com.cktv.util.exception.MessageException: ??????????/Users/jsf/Desktop/IDEAProjects/Cktv/src/main/webapp/pages/tpl/test????\r\n[exception]
